Engine_RPM,Engine_Torque_Nm,BSFC_g_per_kWh
800.0,0.0,791.8866666666667
906.1224489795918,0.0,784.5945383867834
1012.2448979591836,0.0,777.6177453838679
1118.3673469387754,0.0,770.9562876579204
1224.4897959183672,0.0,764.6101652089408
1330.612244897959,0.0,758.579378036929
1436.734693877551,0.0,752.8639261418854
1542.857142857143,0.0,747.4638095238096
1648.9795918367347,0.0,742.3790281827016
1755.1020408163265,0.0,737.6095821185618
1861.2244897959183,0.0,733.1554713313897
1967.3469387755101,0.0,729.0166958211856
2073.469387755102,0.0,725.1932555879495
2179.591836734694,0.0,721.6851506316813
2285.714285714286,0.0,718.4923809523809
2391.8367346938776,0.0,715.6149465500487
2497.9591836734694,0.0,713.0528474246842
2604.081632653061,0.0,710.8060835762876
2710.204081632653,0.0,708.874655004859
2816.326530612245,0.0,707.2585617103985
2922.4489795918366,0.0,705.9578036929057
3028.5714285714284,0.0,704.972380952381
3134.6938775510203,0.0,704.3022934888241
3240.816326530612,0.0,703.9475413022352
3346.9387755102043,0.0,703.9081243926142
3453.061224489796,0.0,704.1840427599611
3559.183673469388,0.0,704.7752964042761
3665.3061224489797,0.0,705.6818853255588
3771.4285714285716,0.0,706.9038095238095
3877.5510204081634,0.0,708.4410689990282
3983.673469387755,0.0,710.2936637512148
4089.795918367347,0.0,712.4615937803693
4195.918367346939,0.0,714.9448590864918
4302.040816326531,0.0,717.7434596695821
4408.163265306122,0.0,720.8573955296404
4514.285714285714,0.0,724.2866666666666
4620.408163265306,0.0,728.0312730806609
4726.530612244898,0.0,732.091214771623
4832.65306122449,0.0,736.466491739553
4938.775510204082,0.0,741.1571039844509
5044.897959183673,0.0,746.1630515063168
5151.0204081632655,0.0,751.4843343051507
5257.142857142857,0.0,757.1209523809524
5363.265306122449,0.0,763.0729057337221
5469.3877551020405,0.0,769.3401943634597
5575.510204081633,0.0,775.9228182701652
5681.632653061224,0.0,782.8207774538387
5787.755102040816,0.0,790.0340719144801
5893.877551020409,0.0,797.5627016520895
6000.0,0.0,805.4066666666668
800.0,4.081632653061225,702.6482729789504
906.1224489795918,4.081632653061225,695.3994599843647
1012.2448979591836,4.081632653061225,688.4659822667472
1118.3673469387754,4.081632653061225,681.8478398260975
1224.4897959183672,4.081632653061225,675.5450326624157
1330.612244897959,4.081632653061225,669.5575607757017
1436.734693877551,4.081632653061225,663.8854241659558
1542.857142857143,4.081632653061225,658.5286228331779
1648.9795918367347,4.081632653061225,653.4871567773678
1755.1020408163265,4.081632653061225,648.7610259985256
1861.2244897959183,4.081632653061225,644.3502304966514
1967.3469387755101,4.081632653061225,640.2547702717452
2073.469387755102,4.081632653061225,636.4746453238067
2179.591836734694,4.081632653061225,633.0098556528362
2285.714285714286,4.081632653061225,629.8604012588338
2391.8367346938776,4.081632653061225,627.0262821417992
2497.9591836734694,4.081632653061225,624.5074983017327
2604.081632653061,4.081632653061225,622.3040497386339
2710.204081632653,4.081632653061225,620.415936452503
2816.326530612245,4.081632653061225,618.8431584433403
2922.4489795918366,4.081632653061225,617.5857157111454
3028.5714285714284,4.081632653061225,616.6436082559184
3134.6938775510203,4.081632653061225,616.0168360776593
3240.816326530612,4.081632653061225,615.7053991763681
3346.9387755102043,4.081632653061225,615.709297552045
3453.061224489796,4.081632653061225,616.0285312046897
3559.183673469388,4.081632653061225,616.6631001343023
3665.3061224489797,4.081632653061225,617.613004340883
3771.4285714285716,4.081632653061225,618.8782438244315
3877.5510204081634,4.081632653061225,620.458818584948
3983.673469387755,4.081632653061225,622.3547286224323
4089.795918367347,4.081632653061225,624.5659739368846
4195.918367346939,4.081632653061225,627.0925545283048
4302.040816326531,4.081632653061225,629.9344703966931
4408.163265306122,4.081632653061225,633.0917215420492
4514.285714285714,4.081632653061225,636.5643079643731
4620.408163265306,4.081632653061225,640.3522296636652
4726.530612244898,4.081632653061225,644.4554866399251
4832.65306122449,4.081632653061225,648.874078893153
4938.775510204082,4.081632653061225,653.6080064233486
5044.897959183673,4.081632653061225,658.6572692305123
5151.0204081632655,4.081632653061225,664.0218673146439
5257.142857142857,4.081632653061225,669.7018006757435
5363.265306122449,4.081632653061225,675.697069313811
5469.3877551020405,4.081632653061225,682.0076732288462
5575.510204081633,4.081632653061225,688.6336124208497
5681.632653061224,4.081632653061225,695.5748868898208
5787.755102040816,4.081632653061225,702.83149663576
5893.877551020409,4.081632653061225,710.4034416586672
